"carrier","carrier_name","year","total_delay","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","carrier_nameshort","total_delay_rel","carrier_delay_rel","weather_delay_rel","nas_delay_rel","security_delay_rel","late_aircraft_delay_rel"
"AA","American Airlines Inc.",2007,10869722,2700300,811124,3275624,7775,4074899,"American",17.8464087616779,15.4533138009887,25.8848075578466,20.7792636191482,6.37154072459374,16.6910977144836
"AA","American Airlines Inc.",2008,9569077,2821907,418677,2987319,6626,3334548,"American",17.9329641247652,19.7528447098746,17.3514447000588,19.5630012320035,9.20277777777778,15.6411931452924
"AA","American Airlines Inc.",2009,6796315,2283295,432667,1884383,3531,2192439,"American",16.4777546681272,20.7483224699654,27.3946157591521,16.1143823613821,7.56783402631917,12.9570394081663
"AA","American Airlines Inc.",2010,5565988,1993052,358453,1502617,5964,1705902,"American",12.6780603937997,14.8250081022171,20.6861189772273,14.4005234194656,9.27700348432056,9.35915151839012
"AA","American Airlines Inc.",2011,5920542,2133621,401882,1508508,2337,1874194,"American",13.1143383212579,15.4826997626677,22.8496150528794,14.3093229511217,3.58540065356469,9.86482379532388
"AA","American Airlines Inc.",2012,6203856,2140405,343832,1419535,4362,2295722,"American",12.5412223415054,13.3587546853675,19.8882819870466,13.0253242028322,6.45342644099893,11.0634293671116
"AA","American Airlines Inc.",2013,6355728,1927664,341701,1406221,6384,2673758,"American",10.945376959519,11.0780232212392,16.7073306682522,10.1011348270894,7.3969364818205,10.8627696751949
"AA","American Airlines Inc.",2014,7131277,2196265,408197,1632082,4225,2890508,"American",11.2626379743933,11.226812732573,16.5858564106106,11.3248130424205,7.25496256611031,10.7756613061519
"AA","American Airlines Inc.",2015,7831435,2753994,467420,1760561,16158,2833302,"American",13.9813286166154,14.8735116869656,17.8501597814996,14.4027814034589,24.1297432910712,12.5433219773694
"AS","Alaska Airlines Inc.",2007,2107206,722012,31513,407621,13452,932608,"Alaska",3.45970758231538,4.13194015630835,1.00565134377779,2.5857864686853,11.0237898170077,3.82003363943722
"AS","Alaska Airlines Inc.",2008,1507193,481833,47431,379500,7086,591343,"Alaska",2.82456061311841,3.37274489382286,1.96570715269406,2.48522470065812,9.84166666666667,2.77378225718048
"AS","Alaska Airlines Inc.",2009,1003897,318244,43631,291713,2834,347475,"Alaska",2.43396141557136,2.89188612778098,2.76252748693006,2.49459627994195,6.07398516867418,2.05353365286449
"AS","Alaska Airlines Inc.",2010,741330,239594,29271,213336,2438,256691,"Alaska",1.68858188550452,1.78218279866386,1.6892127798691,2.04453301421128,3.79230960676954,1.40829306865639
"AS","Alaska Airlines Inc.",2011,766706,262287,26333,220792,2900,254394,"Alaska",1.6982975337289,1.90329532407622,1.4972029431213,2.09437671727565,4.44914929197159,1.33900331800637
"AS","Alaska Airlines Inc.",2012,872417,280863,40336,230849,3351,317018,"Alaska",1.76360888639406,1.75292989747099,2.33315614087552,2.11821692800784,4.95768730027222,1.5277573900947
"AS","Alaska Airlines Inc.",2013,848473,256638,32302,270987,5875,282671,"Alaska",1.46117908522422,1.47486373322964,1.57939308121978,1.94654767877061,6.80717447222673,1.14841730884284
"AS","Alaska Airlines Inc.",2014,989491,289072,33869,304865,3943,357742,"Alaska",1.56273258098381,1.47767105072946,1.37616486836251,2.11542013708719,6.77072601140188,1.33364329971943
"AS","Alaska Airlines Inc.",2015,1074977,347425,38832,301478,5825,381417,"Alaska",1.91913827954945,1.87634025268175,1.48294340129903,2.46632847822482,8.6988336842734,1.68857264020649
"B6","JetBlue Airways",2007,3580607,562553,107400,1433643,6002,1471009,"JetBlue",5.87880500871369,3.21938600847594,3.42737772734221,9.09446439296652,4.91858359215583,6.02536528092715
"B6","JetBlue Airways",2008,3337721,677621,55222,1309542,2101,1293235,"JetBlue",6.25506837822242,4.74322590544263,2.2885935440128,8.57577371528126,2.91805555555556,6.06611103431477
"B6","JetBlue Airways",2009,2537600,711440,45380,944248,2375,834157,"JetBlue",6.15244441227924,6.46486176251083,2.87326665345479,8.07477742898884,5.09023104290797,4.92976320964813
"B6","JetBlue Airways",2010,2717652,939197,57594,752270,3857,964734,"JetBlue",6.19019591586087,6.98607117856334,3.32371701833833,7.20947636873625,5.99956445993031,5.2928548538794
"B6","JetBlue Airways",2011,3341555,1069602,73981,993294,3794,1200884,"JetBlue",7.40173497444843,7.76160650441147,4.20630277351828,9.42213407645928,5.82071462542766,6.32085528959314
"B6","JetBlue Airways",2012,2772648,938191,79334,670333,4590,1080200,"JetBlue",5.60496488679465,5.85546353004205,4.58891831813315,6.15082026780397,6.79074446680081,5.20564615504575
"B6","JetBlue Airways",2013,3602733,1074604,70959,998064,10231,1448875,"JetBlue",6.20436726831274,6.17560325120796,3.46951128878319,7.16927071211722,11.8543322596343,5.88639488433435
"B6","JetBlue Airways",2014,3234229,951159,141661,937446,8216,1195747,"JetBlue",5.10791410196017,4.86211088912376,5.75596833142702,6.50482064465202,14.1081118208668,4.45768172232952
"B6","JetBlue Airways",2015,3610200,1074056,115770,991461,11417,1417496,"JetBlue",6.44522907637039,5.80066059274476,4.42110521138206,8.11093512411937,17.0497140211759,6.27540189137384
"DL","Delta Air Lines Inc.",2007,5176517,1530087,152501,1866371,6735,1620823,"Delta",8.49904333742618,8.75640282702418,4.86665298694054,11.8395197434545,5.51927032541978,6.63901487395943
"DL","Delta Air Lines Inc.",2008,5125061,1411220,167124,1945194,1365,1600158,"Delta",9.60463951227828,9.87828780731228,6.92620527053702,12.7384563277259,1.89583333333333,7.50577899642915
